Vendor,Product Name,Size,Type
Bion,Vitamin A+ Antioxidant Complex 4 oz,,
Bion,Vitamin C+ Calcium Complex 1 oz,,
Bion,Vitamin C+ Calcium Complex 4 oz,,
Bion,Youthful Eye Peptide 4 oz,,
Botanical Science,Advanced Protection Spf 30,3.3oz,
Botanical Science,AHA Mint Masque,.5oz,
Botanical Science,AHA/BHA Exfoliating Cleanser,1.25oz,
Botanical Science,AHA/BHA Lipo Serum,1oz,
Botanical Science,ALA Eye & Neck Lifting Crème,1oz,
Botanical Science,Almond Avocado Body Lotion,4oz,
Botanical Science,Aloe & Azulene Gel Masque,2oz,
Botanical Science,Blemish Control,.33oz,
Botanical Science,Capsicum Hot Rub,3.3oz,
Botanical Science,Chamomile Cleansing Lotion,5oz,
Botanical Science,Chocolate And Coffee Mint Body Polish,8oz,
Botanical Science,Citrus & Verbena Body Lotion,8oz,
Botanical Science,Complex C Moisturizer,1oz,
Botanical Science,Dermaclenz Liquid,5oz,
Botanical Science,Earth and Sea Mud Bath,8oz,
Botanical Science,Glycolic Gel Renewal,1.7oz,
Botanical Science,Glycolic Moisture Crème,1.7oz,
Botanical Science,Gold Vitamin C x 3,1oz,
Botanical Science,Green Hemp Oil Creme,1.7oz,
Botanical Science,Hand Sanitizer Gel,2oz,
Botanical Science,Herbal Blend Astringent,5oz,
Botanical Science,Herbal Silk Moisturizer,.5oz,
Botanical Science,Honey Almond Scrub,3.3oz,
Botanical Science,Intensive Rescue Cream,2oz,
Botanical Science,Keep It Calm,1oz,
Botanical Science,Lashurious Treatment,.17oz,
Botanical Science,Luminous Peptide Serum,1oz,
Botanical Science,MajaFirm,1oz,
Botanical Science,Massage Creme,32oz,
Botanical Science,Matrix Oil,1oz,
Botanical Science,Neck Reserve Crème,1.7oz,
Botanical Science,Nutra Peptide Conditioner,8oz,
Botanical Science,Nutra Peptide Sensory Serum,2oz,
Botanical Science,Papaya Crème Enzyme Polish,.5oz,
Botanical Science,Radiant Antioxidant Moisture Crème,1.7oz,
Botanical Science,Rapid Response Line Filler,10ml,
Botanical Science,Refreshing Anti-Puff Eye Gel,10ml,
Botanical Science,Restorative Marine Moisturizer,.25ml,
Botanical Science,Retinol Night Crème,1oz,
Botanical Science,RETINOL TITRATION SYSTEM,,
Botanical Science,Rosemary Mint Salt Scrub,12oz,
Botanical Science,Sage & Citrus Moisturizer,.5oz,
Botanical Science,Sea Splash Shower Gel,4oz,
Botanical Science,Shea Body Butter,8oz,
Botanical Science,Shea Butter Body Gel,8oz,
Botanical Science,Shea Butter Body Polish,8oz,
Botanical Science,Sheer Berry Antioxidant Serum,1oz,
Botanical Science,Soft Papaya and Pumpkin Masque,2oz,
Botanical Science,Super Firming Creme,.25oz,
Botanical Science,Ultra Soy Peptide Crème With Alpha Lipoic Acid,1.7oz,
Militti Sales,Waiva Charging Blocks,,
Militti Sales,Waiva Charging Cords,,
Peeq,Peeq Waiva (Kit),,
Pure & Clean,VS Lid prep drop,1oz,
Allergan,Lastacaft OTC one pack,5mL (60days),Bottle
Bausch & Lomb,Lumify,,
Allergan,Refresh Celluvisc,30ct,single use
Allergan,Refresh Optive Advanced,10mL,Bottle
Allergan,Refresh Optive Mega-3,30ct,Single use
Allergan,Refresh Relieva PF 10 ml,10mL,Bottle
Allergan,Refresh Relieva PF 30 ct,30ct,single use
Alcon,Systane Complete PF,10mL,10mL
NanoDropper,Nanodropper,,
Allergan,Refresh Optive,30ct,single use
Sunnie Natural,Sunnie drops dry eye,,
Sunnie Natural,Sunnie drops digital eye strain,,
Sunnie Natural,Sunnie drops redness,,
Scope,Optase Intense Drops,1 x 10 ML PF Multi Dose Bottle (300 Doses),
Allergan,Refresh Optive Advanced (PF),30ct,Single use
Allergan,Refresh Relieva,10mL,bottle
Alcon,Pataday Once Daily,2.5mL,2.5mL
Alcon,Pataday Once Daily,2pack 2.5mL,2pack 2.5mL
Alcon,Pataday Once Daily Relief Extra Strength,2.5mL,2.5mL
Alcon,Pataday Once Daily Relief Extra Strength,2pack 2.5mL,2pack 2.5mL
Alcon,Pataday Twice Daily,5mL,5mL
Alcon,Systane Balance,10mL,10mL
Alcon,Systane Balance,2 pack 10mL,2 pack 10mL
Alcon,Systane Complete,5mL,5mL
Alcon,Systane Complete,10mL,10mL
Alcon,Systane Complete,2 pack 10mL,2 pack 10mL
Alcon,Systane Complete PF,2 pack 10mL,2 pack 10mL
Alcon,Systane Contacts,12mL,12mL
Alcon,Systane Gel Drops,10mL,10mL
Alcon,Systane Hydraton,10mL,10mL
Alcon,Systane Hydraton,30ct,30ct
Alcon,Systane Original,15mL,15mL
Alcon,Systane Original,30mL,30mL
Alcon,Systane Ultra,3mL,3mL
Alcon,Systane Ultra,4mL,4mL
Alcon,Systane Ultra,2 pack 4mL,2 pack 4mL
Alcon,Systane Ultra,10mL,10mL
Alcon,Systane Ultra,30ct,30ct
Alcon,Systane Ultra,2 pack 10mL,2 pack 10mL
Alcon,Systane Ultra PF ,10mL,10mL
Alcon,Systane Ultra PF (not ideal b/c 60ct),60ct,60ct
Allergan,Lastacaft OTC two pack,5mL (60days),bottle
Allergan,Refresh Contacts,12mL,bottle
Allergan,Refresh Digital,10mL,bottle
Allergan,Refresh Digital PF,30ct,single use
Allergan,Refresh Lacri-Lube,3.5g,tube
Allergan,Refresh Liquigel,15mL,bottle
Allergan,Refresh Optive,15mL,bottle
Allergan,Refresh Optive Gel Drops,10mL,bottle
Allergan,Refresh Plus,30ct,single use
Allergan,Refresh PM,3.5g,tube
Allergan,Refresh Relieva for Contacts,8mL,bottle
Allergan,Refresh Tears,15mL,bottle
Scope,Optase MGD Drops,1 x 10 ML PF Multi Dose Bottle  (300 Doses),
"Kolder, Inc.",Eyelash Sleep Mask,,
Underground Distributing,Cooling Masks,,
Militti Sales,Flaxseed Masks,,
Bion,Seaweed Mask 8 oz,,
Militti Sales,Peeq Pro Silica Bead Masks,,
Scope,Optase Heat Mask,,
Brooks Candle Co,Lavender Mint Candle,,
Amazon,Organza bags,100 bags,
Amazon,Wrist Spa Washband,,
Botanical Science,Large Vinyl Zipper Bag 11x3x8,,
Botanical Science,Sample Size - .25oz Jar and Cap,,
Botanical Science,Sample Size - 1.25oz Bottle & Cap,,
Botanical Science,Small Vinyl Zipper Bag 7x1.5x6.5,,
Our Lavender Company,Eye Pillow,,
Our Lavender Company,Scent Sachet,,
Underground Distributing,Peeq Pro Mirrors,,
DMV,DMV Classic Plunger,,
DMV,Scleral Cups,,
DMV,Vented Scleral Cups,,
Bausch & Lomb,Boston Advanced Simplus,,
Alcon,Clear care triple action,Single,
Alcon,Clear care triple action,Two Pack,
Menicon,Progent 1 step,1 step,
Menicon,Progent 7,7 step,
Purilens,Purilens Plus 4oz bottle,4 oz,
Tangible Science,Tangible Clean 12oz,12oz,
Tangible Science,Tangible Clean 3.4oz,3.4oz,
Menicon,Unique PH,4oz,
DMV,Ultra,,
Menicon,Lacripure 98 Vials,98 vial pack,
Menicon,Lacripure 7 vial,7 vial pack,
DMV,Versa,,
Underground Distributing,Peeq pro cosmetic mesh bags,,
Alcon,Opti-free Puremoist,2oz+lens case,2oz+lens case
Alcon,Opti-free Puremoist,4oz,4oz
Alcon,Opti-free Puremoist,12mL,12mL
Alcon,Opti-free Puremoist,10oz+lens case,10oz+lens case
Alcon,Opti-free Puremoist,2 pack 10oz +lens case,2 pack 10oz +lens case
Alcon,Opti-free Puremoist,2pack 300mL,2pack 300mL
Alcon,Opti-free RepleniSH,2oz + lens case,2oz + lens case
Alcon,Opti-free RepleniSH,2 pack/ 6ct tray=12ct tray,2 pack/ 6ct tray=12ct tray
Alcon,Opti-free RepleniSH,4oz,4oz
Alcon,Opti-free RepleniSH,10mL,10mL
Alcon,Opti-free RepleniSH,10oz+lens case,10oz+lens case
Alcon,Opti-free RepleniSH,2 pack 10oz+lens case,2 pack 10oz+lens case
DMV,45,,
DMV,Lumaserter Plus,,
DMV,SLH Solo Packs (10ct),,
McKesson,AddiPak Box of Vials,100 ct,
Menicon,Unique PH,2.5oz,
Purilens,Purilens 12 pack,12 count 4oz bottles,
Militti Sales,Green/ Gray Bishop Sponges,,
Absorene,3 inch Circle Sponges,Single,
Absorene,3 inch Circle Sponges,3/8 inch thick 10 pack,
Absorene,1 inch Waiva Sponges,1 inch thick (pack of 30),
Absorene,3/4 inch Waiva Sponges,3/4 inch thick (pack of 30),
Absorene,5/8 inch Waiva Sponges,5/8 inch thick (pack of 30),
Nordic Naturals,Algae Omega,60ct,
Nordic Naturals,Pro Omega Jr,90ct,
Nordic Naturals,ProOmega Liquid,8oz,
Nordic Naturals,ProOmega 2000 120ct,120ct,
Nordic Naturals,ProOmega 2000 60ct,60ct,
Nordic Naturals,ProOmega 2000-D,60ct,
Alcon,Genteal Severe lubricant eye gel,10g,10g
Alcon,Genteal Severe lubricant eye gel,8mL,8mL
Alcon,Genteal Tears ,15mL,15mL
Alcon,Naphcon A,15mL,15mL
Alcon,Systane Lid Wipes,30ct,30ct
Alcon,Systane Lubricant Eye Gel,10g,10g
Alcon,Systane Nighttime Ointment,3.5g,3.5g
Alcon,Zaditor Antihistamine ,5mL,5mL
Alcon,Zaditor Antihistamine ,2 pack 5mL,2 pack 5mL
Bausch & Lomb,Bio True,2 pack 10 oz bottles,
Botanical Science,Post Treatment Kit,,
Botanical Science,Premium Platinum Kit,,
Botanical Science,Skin Care Basic Kit,,
Botanical Science,Vital Hydrant Toner,2oz,
Menicon,Deluxe lens care kits,,
Menicon,Large Diameter lens case,,
Nordic Naturals,ProOmega 2000-D,120ct,
Ocusoft,Retaine MGD,,
Optase,Tea Tree Lid Wipes ,20 ct,
PRN,DE3,270 Softgels,
Science Based Health,Dia Vis,1 BID,
Science Based Health,Hydroeye,,
Science Based Health,MacularProtect AREDS2,,
Science Based Health,MacularProtect Complete All-in-One AREDS 2 Vitamin & Mineral Supplement and Whole Body Multinutrient,,
Science Based Health,Ocular Essentials,1 BID,
Science Based Health,OcularProtect Whole Body Formula,1 BID,
Science Based Health,Omega Advance,,
Science Based Health,Optic Nerve,2 BID,
Scope,Optase Hylo Night,1 x 5 G PF Night-Time Ointment (300 Applications),
